University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Nova Southeastern University,1050,1310,1182,18,28,21.0,37080,Public University,2025-11-01,2.93,74,7.0,1.0,3880-7025,23.0,http://nova.edu/
National University of Health Sciences,932,1281,1106,17,26,23.5,1000,Public University,June 1,3.29,72,6.5,1.0,3372-9261,16.0,http://nuhs.edu/
Northwest Florida State College,929,1284,1124,20,27,23.5,3246,Public College,January 15,2.9,81,6.5,1.0,5662-9358,23.0,http://nwfsc.edu/
Palm Beach State College,1005,1245,1135,19,27,22.0,3050,Public College,July 1,2.89,81,7.0,1.0,2075-6606,25.0,http://palmbeachstate.edu/
Palm Beach Atlantic University,970,1210,1101,20,29,24.5,37990,Public University,March 1,3.31,83,6.0,1.0,5024-11410,17.0,http://pba.edu/
Pensacola State College,1039,1247,1141,21,23,22.5,2348,Public College,March 1,3.05,85,6.0,1.0,3406-8025,19.0,http://pensacolastate.edu/
Pasco-Hernando State College,1063,1298,1164,18,22,18.5,3155,Public College,Rolling,2.93,84,6.0,1.0,3512-8221,25.0,http://phsc.edu/
Ringling College of Art and Design,1012,1329,1188,20,29,23.5,55480,Private College,2025-05-79,3.28,86,6.0,1.0,5601-17582,35.0,http://ringling.edu/
Rollins College,1210,1360,1304,23,31,29.0,58300,Private College,2025-11-15,3.18,90,7.0,1.0,8526-19438,39.0,http://rollins.edu/
Saint Leo University,1055,1244,1150,21,23,22.5,28360,Public University,January 15,3.23,79,6.5,1.0,4610-8579,19.0,http://saintleo.edu/
State College of Florida,1074,1274,1185,21,22,21.5,3227,Public College,February 1,2.81,76,7.0,1.0,4899-9631,17.0,http://scf.edu/
Seminole State College of Florida,1090,1207,1156,19,29,23.0,3227,Public College,March 1,3.31,83,6.0,1.0,2680-7023,23.0,http://seminolestate.edu/
Santa Fe College,1135,1379,1263,24,31,25.5,2563,Private College,February 1,3.26,86,7.0,1.0,6374-13926,35.0,http://sfcollege.edu/
South Florida State College,1043,1360,1198,19,22,19.5,3401,Public College,June 1,3.13,76,6.5,1.0,2294-8099,24.0,http://southflorida.edu/
Space Coast Health Institute,964,1302,1147,20,28,24.0,9060,Public University,Rolling,3.28,82,6.0,1.0,4255-10443,24.0,http://spacecoast.edu/
Saint Petersburg College,1023,1220,1102,21,32,26.5,2682,Private College,2025-12-08,3.42,76,7.0,1.0,6493-14606,25.0,https://spcollege.edu/
Stetson University,1090,1290,1208,20,29,24.5,55220,Public University,July 1,3.18,75,7.0,0.0,3093-9118,19.0,https://stetson.edu/
Saint Thomas University,1014,1318,1158,21,27,25.0,34770,Public University,July 1,2.94,81,7.0,1.0,3666-9238,22.0,http://stu.edu/
Saint Vincent de Paul Regional Seminary,1106,1289,1192,20,26,23.0,2000,Public University,June 1,3.08,80,6.5,1.0,4092-6174,20.0,http://svdp.edu/
Traviss Career Center,1035,1170,1110,17,26,23.5,13800,Public University,February 1,2.89,72,7.0,0.0,3721-10601,23.0,http://traviss.edu/
University of Central Florida,1190,1350,1277,21,29,26.0,6368,Public University,2025-12-06,3.41,83,6.0,1.0,2922-9641,20.0,http://ucf.edu/
University of Florida,1240,1390,1323,19,23,20.0,5656,Public,July 1,3.3,85,7.0,1.0,4882-7004,18.0,http://ufl.edu/
University of North Florida,990,1210,1115,21,27,25.0,6389,Public University,2025-12-22,3.23,73,7.0,1.0,4751-7188,20.0,http://unf.edu/
University of South Florida,1140,1330,1235,17,26,23.5,6410,Public,June 1,2.83,72,6.5,1.0,4030-7246,21.0,http://usf.edu/
University of South Florida Sarasota-Manatee,1036,1250,1149,19,25,21.0,7860,Public,March 1,3.03,79,6.0,1.0,2885-7525,24.0,http://usfsm.edu/
University of South Florida Saint Petersburg,1040,1312,1158,21,29,26.0,10140,Public University,January 15,3.15,83,6.5,1.0,2484-6609,21.0,http://usfsp.edu/
University of Tampa,1014,1183,1090,20,26,23.0,33424,Public University,2025-06-01,2.8,80,7.0,1.0,2894-8214,18.0,http://ut.edu/
University of West Florida,1020,1230,1137,21,24,23.5,6360,Public University,2025-12-09,2.85,70,7.0,1.0,3054-7627,19.0,http://uwf.edu/
Valencia College,1177,1334,1276,23,30,28.5,2474,Private College,February 1,3.65,78,7.0,1.0,7191-15442,27.0,http://valenciacollege.edu/
Warner University,840,1070,937,20,26,23.0,28160,Public University,June 1,3.45,72,6.5,1.0,5614-8299,17.0,http://warner.edu/
Webber International University,971,1161,1071,18,25,19.5,32150,Public University,January 15,2.84,79,6.5,1.0,2668-5119,20.0,http://webber.edu/
Agnes Scott College,1180,1350,1296,20,29,23.5,48150,Private College,2025-11-01,3.1,88,6.5,1.0,6359-13769,37.0,http://agnesscott.edu/
Albany Technical College,1024,1349,1180,19,29,23.0,3196,Public Technical College,March 1,2.97,75,6.0,1.0,4767-11624,16.0,http://albanytech.edu/
Armstrong Atlantic State University,933,1348,1148,17,27,24.0,14150,Public University,July 1,3.28,73,7.0,1.0,3233-8526,19.0,http://armstrong.edu/
Atlanta Technical College,920,1305,1096,17,25,23.0,3164,Public Technical College,January 15,3.32,79,6.5,1.0,4547-8318,25.0,http://atlantatech.edu/
Atlanta Metropolitan State College,954,1278,1124,17,27,24.0,3105,Public College,July 1,3.25,73,7.0,1.0,3204-8443,18.0,http://atlm.edu/
Berry College,1100,1278,1223,23,28,27.5,40416,Private College,July 1,3.53,81,7.0,1.0,8774-17331,30.0,http://berry.edu/
Carver College,1126,1407,1278,21,27,24.0,22440,Private College,March 1,3.32,75,6.0,1.0,6426-12245,40.0,http://carver.edu/
Child Care Education Institute,963,1176,1072,20,26,23.0,9910,Public University,February 1,3.17,72,7.0,0.0,2269-6068,16.0,http://cceionline.edu/
Central Georgia Technical College,1093,1252,1180,19,26,21.5,3180,Public Technical College,Rolling,3.27,72,6.0,0.0,5823-12629,20.0,http://centralgatech.edu/
Clayton State University,868,1070,973,18,25,19.5,5068,Public University,2025-12-15,3.28,79,7.0,1.0,4067-8301,20.0,http://clayton.edu/
Columbus State University,860,1100,994,19,26,21.5,5751,Public University,Rolling,3.31,80,6.0,1.0,5823-10472,16.0,http://columbusstate.edu/
Columbus Technical College,1016,1299,1176,18,22,18.5,3042,Public Technical College,2025-06-22,3.35,76,6.5,1.0,2768-5519,18.0,http://columbustech.edu/
Covenant College,1130,1390,1254,21,27,24.0,40464,Private College,Rolling,3.33,84,6.0,1.0,5487-16220,33.0,http://covenant.edu/
Dalton State,1026,1154,1098,18,22,18.5,3283,Public University,February 1,3.41,76,7.0,1.0,5020-10325,19.0,http://daltonstate.edu/
Darton State College,965,1328,1150,19,25,21.0,12640,Public College,January 15,3.21,79,6.5,1.0,5508-8598,19.0,http://darton.edu/
East Georgia State College,947,1231,1100,20,26,23.0,2736,Public College,June 1,3.44,72,6.5,1.0,2281-5386,20.0,http://ega.edu/
Emory University,1460,1550,1507,21,29,26.0,60774,Public University,July 1,2.84,83,7.0,1.0,4009-7124,22.0,http://emory.edu/
Georgia Institute of Technology,1330,1530,1447,19,23,20.0,11764,Public,July 1,3.34,85,7.0,1.0,5279-10344,19.0,http://gatech.edu/
Georgia College,1060,1240,1150,20,26,23.0,8998,Public,Rolling,2.95,72,6.0,1.0,4521-11024,21.0,http://gcsu.edu/
Georgia Southern University,980,1160,1057,21,26,24.5,5905,Public University,2025-11-01,3.19,72,7.0,1.0,4518-7372,20.0,http://georgiasouthern.edu/
Georgia Gwinnett College,1021,1396,1210,23,29,28.0,4458,Private College,2025-05-01,3.55,69,6.5,1.0,8346-14244,31.0,http://ggc.edu/
Georgia Perimeter College,850,1100,963,24,28,24.5,2960,Private College,June 1,3.67,76,6.5,0.0,8313-17409,25.0,http://gpc.edu/
Augusta University,1020,1230,1113,20,27,23.5,8122,Public University,January 15,3.11,73,6.5,1.0,2390-9119,25.0,http://augusta.edu
Georgia State University,900,1130,998,21,28,25.5,4980,Public University,Rolling,3.35,82,6.0,1.0,2715-5276,22.0,http://gsu.edu/
Georgia South Western State University,1061,1355,1197,20,26,23.0,8930,Public University,June 1,3.04,72,6.5,1.0,4855-10333,20.0,http://gsw.edu/
Interactive College of Technology,1000,1314,1158,23,30,28.5,11330,Private College,March 1,3.14,81,6.0,1.0,8072-14167,30.0,http://ict.edu/
Atlanta’s John Marshall Law School,1019,1340,1172,18,26,20.0,8800,Public University,June 1,3.38,80,6.5,1.0,5956-11830,17.0,http://johnmarshall.edu/
Kennesaw State University,1020,1220,1120,17,29,25.0,5786,Public University,March 1,3.28,83,6.0,1.0,5112-8549,25.0,http://kennesaw.edu/
Lanier Technical College,1010,1204,1107,18,29,21.5,3716,Public Technical College,January 15,3.26,75,6.5,0.0,4296-10659,18.0,http://laniertech.edu/
Life University,900,1120,994,20,22,21.0,15036,Public University,2025-01-06,3.45,76,6.0,1.0,2057-7681,23.0,http://life.edu/
Mercer University,1180,1350,1280,17,24,22.5,40890,Public University,February 1,3.06,78,7.0,1.0,3316-9146,17.0,http://mercer.edu/
Middle Georgia State College,1118,1172,1161,20,28,24.0,10850,Public,June 1,3.08,82,6.5,1.0,5630-7940,16.0,http://mga.edu/
Morehouse College,1124,1323,1242,20,27,22.5,31725,Private College,2025-11-01,3.3,81,6.0,1.0,8519-19399,30.0,http://morehouse.edu/
Morehouse School of Medicine,985,1240,1122,21,27,25.0,67314,Public University,March 1,3.46,81,6.0,1.0,5267-10489,21.0,http://msm.edu/
North Georgia Technical College,1088,1339,1196,19,26,21.5,3132,Public Technical College,June 1,2.94,72,6.5,1.0,2235-8781,18.0,http://northgatech.edu/
Oglethorpe University,1106,1320,1230,20,27,23.5,45806,Public University,March 1,2.88,73,6.0,0.0,3909-10847,18.0,http://oglethorpe.edu/
Okefenokee Technical College,932,1256,1091,20,27,23.5,15170,Public Technical College,January 15,3.47,81,6.5,1.0,4929-9732,21.0,http://okefenokeetech.edu/
Paine College,1020,1412,1218,20,32,25.0,14596,Private College,2025-06-20,3.52,81,7.0,1.0,8563-16928,30.0,http://paine.edu/
Pfeiffer University,927,1239,1101,19,25,21.0,18115,Public University,2025-12-07,2.98,79,7.0,1.0,5176-8954,23.0,http://pfeiffer.edu/
Piedmont College,1118,1354,1237,24,26,24.5,3188,Private College,January 15,3.34,89,6.5,0.0,8350-18088,38.0,http://piedmont.edu/
Reinhardt University,1020,1248,1120,19,27,22.0,28420,Public University,July 1,3.14,81,7.0,1.0,3349-9860,16.0,http://reinhardt.edu/
Savannah State University,1103,1234,1156,18,25,19.5,5498,Public University,January 15,2.92,79,6.5,1.0,4585-10363,17.0,http://savannahstate.edu/
Savannah College of Art and Design,1050,1280,1178,20,31,24.5,40595,Private College,February 1,3.29,84,7.0,1.0,6511-14945,33.0,http://scad.edu/
Shorter University,900,1130,1075,17,27,24.0,24044,Public University,July 1,3.47,73,7.0,1.0,4885-10988,19.0,http://shorter.edu/
Southeastern Technical College,962,1354,1170,20,27,23.5,3172,Public Technical College,January 15,3.23,73,6.5,1.0,2529-5880,18.0,http://southeasterntech.edu/
Spelman College,1060,1270,1184,22,29,26.5,30058,Private College,June 1,3.11,80,6.5,1.0,6313-10825,29.0,http://spelman.edu/
Southern Polytechnic State University,1044,1313,1170,19,27,22.0,14910,Public University,July 1,2.9,73,7.0,1.0,2690-9240,24.0,http://spsu.edu/
Thomas University,970,1110,1037,20,22,21.0,11640,Public University,June 1,3.02,76,6.5,1.0,3865-9781,17.0,http://thomasu.edu/
University of Georgia,900,1130,998,21,29,26.0,4980,Public University,July 1,3.42,83,7.0,1.0,2310-6514,20.0,http://uga.edu/
University of North Georgia,1020,1215,1136,17,27,24.0,5009,Public,March 1,2.86,81,6.0,1.0,5630-8719,15.0,http://ung.edu/
University System of Georgia,1113,1297,1217,21,27,25.0,20000,Public,July 1,3.4,81,7.0,1.0,4992-7033,24.0,http://usg.edu/
Valdosta State University,950,1130,1037,21,29,26.0,6007,Public University,July 1,2.95,75,7.0,1.0,2156-4902,25.0,http://valdosta.edu/
University of West Georgia,930,1130,1044,17,27,24.0,5971,Public University,July 1,3.35,81,7.0,1.0,5506-8594,25.0,http://westga.edu/
Wiregrass Georgia Technical College,1054,1308,1179,17,26,23.5,3212,Public Technical College,Rolling,3.5,72,6.0,1.0,5896-10686,22.0,http://wiregrass.edu/
Brigham Young University Hawaii,985,1191,1104,17,22,21.5,6438,Public University,2025-12-12,3.26,84,7.0,1.0,5257-8354,24.0,http://byuh.edu/
Chaminade University,1085,1320,1155,19,22,19.5,29970,Public University,February 1,3.28,84,7.0,1.0,4989-10225,16.0,http://chaminade.edu/
University of Hawaii at Manoa,1020,1240,1157,18,25,19.5,12186,Public University,March 1,2.92,71,6.0,1.0,4542-8036,19.0,http://hawaii.edu/
Mid-Pacific Institute,1087,1230,1142,17,26,23.5,10250,Public University,Rolling,2.96,80,6.0,1.0,5321-9103,18.0,http://midpac.edu/
AIB College of Business,1051,1370,1202,23,31,29.0,37840,Private College,July 1,3.41,87,7.0,1.0,7338-17410,36.0,http://aib.edu/
Central College,935,1205,1115,21,26,23.5,20988,Private College,March 1,3.61,75,6.0,1.0,6289-11610,40.0,http://central.edu/
Coe College,1080,1280,1206,21,32,26.5,52576,Private College,Rolling,3.69,82,6.0,1.0,8750-17815,31.0,http://coe.edu/
Cornell College,1150,1318,1246,22,31,27.5,50634,Private College,June 1,3.58,78,6.5,1.0,8856-15687,27.0,http://cornellcollege.edu/
Des Moines Area Community College,923,1040,984,14,19,17.5,5550,Public Community College,June 1,2.3,75,6.0,1.0,1611-2564,11.0,http://dmacc.edu/
Dordt College,1005,1228,1132,21,28,24.5,10000,Private College,June 1,3.3,84,6.5,1.0,7079-18422,33.0,http://dordt.edu/
Drake University,1190,1390,1288,22,30,27.0,49944,Private,July 1,3.24,77,7.0,1.0,6334-15698,26.0,http://drake.edu/
Divine Word College,1049,1293,1161,20,30,24.0,15000,Private College,Rolling,3.68,86,6.0,1.0,6328-15132,35.0,http://dwci.edu/
Eastern Iowa Community Colleges,841,1046,932,16,24,18.0,4680,Public Community College,March 1,2.32,74,5.5,1.0,817-2158,15.0,http://eicc.edu/
Grinnell College,1418,1550,1486,20,29,23.5,64862,Private College,2025-05-01,3.5,62,7.0,1.0,5150-10404,31.0,http://grinnell.edu/
Hawkeye Community College,956,1082,1004,15,22,20.5,6308,Public Community College,2025-06-15,2.63,66,6.0,1.0,1795-2434,13.0,http://hawkeyecollege.edu/
Iowa State University,1110,1350,1199,18,22,18.5,10497,Public University,June 1,3.22,76,6.5,1.0,4233-10284,24.0,http://iastate.edu/
Iowa Central Community College,980,1087,1026,16,19,16.5,5376,Public Community College,June 1,2.66,69,6.0,1.0,1748-3318,15.0,http://iowacentral.edu/
Iowa Wesleyan College,1077,1412,1226,22,30,27.0,27010,Private College,February 1,3.35,90,7.0,1.0,8338-18416,39.0,http://iwc.edu/
Iowa Western Community College,780,930,859,16,20,16.5,6780,Public Community College,July 1,2.67,64,6.5,1.0,1224-2375,16.0,http://iwcc.edu/
Kaplan University,1089,1308,1214,20,28,24.0,10000,Public University,February 1,3.43,74,7.0,1.0,3095-7653,24.0,http://kaplanuniversity.edu/
Kirkwood Community College,932,1104,1033,17,19,17.5,5980,Public Community College,June 1,2.36,69,6.0,1.0,945-2409,10.0,http://kirkwood.edu/
La’ James College,1147,1253,1186,22,27,25.5,6495,Private College,July 1,3.37,75,7.0,1.0,8410-12500,40.0,http://lajames.edu/
Loras College,1097,1287,1173,22,32,28.0,38298,Private College,March 1,3.26,77,6.0,1.0,5587-14694,26.0,http://loras.edu/
Luther College,1098,1318,1238,23,29,28.0,50320,Private College,June 1,3.46,88,6.5,1.0,5800-15037,37.0,http://luther.edu/
Maharishi University of Management,1119,1237,1179,18,25,19.5,13580,Public University,July 1,2.99,71,7.0,0.0,3717-9172,24.0,http://mum.edu/
Northeast Iowa Community  College,1026,1392,1201,24,30,25.0,6600,Private College,Rolling,3.7,84,6.0,1.0,5229-14222,33.0,http://nicc.edu/
Palmer College of Chiropractic,1005,1407,1208,23,31,29.0,26940,Private College,Rolling,3.23,86,6.0,1.0,6439-13473,35.0,http://palmer.edu/
Saint Ambrose University,1022,1328,1175,17,23,22.0,35598,Public University,January 15,2.96,85,6.5,1.0,3532-6100,21.0,http://sau.edu/
Simpson College,1050,1406,1247,24,26,24.5,46212,Private College,February 1,3.57,86,7.0,1.0,8580-19333,35.0,http://simpson.edu/
Southwestern Community College,938,1168,1044,15,19,18.5,7024,Public Community College,June 1,2.39,69,6.0,1.0,1689-2318,12.0,http://swcciowa.edu/
Southwestern Community College,938,1168,1044,15,19,18.5,7024,Public Community College,June 1,2.39,69,6.0,1.0,1689-2318,12.0,http://southwesterncc.edu/
Univeristy of Iowa,1009,1264,1118,19,27,22.0,10610,Public,March 1,3.19,81,6.0,1.0,3598-10404,22.0,http://uiowa.edu/
Upper Iowa University,970,1160,929,18,27,20.5,19000,Public University,March 1,3.42,73,6.0,0.0,5875-9552,21.0,http://uiu.edu/
University of Northern Iowa,860,1210,1120,20,28,24.0,9728,Public,June 1,2.95,82,6.5,1.0,5673-10740,18.0,http://uni.edu/
Wartburg College,978,1235,1136,24,28,24.5,51040,Private College,March 1,3.39,75,6.0,1.0,7908-19118,40.0,http://wartburg.edu/
Waldorf College,1075,1288,1192,21,31,26.0,10000,Private College,June 1,3.51,78,6.5,1.0,8547-17898,27.0,http://waldorf.edu/
Boise State University,1099,1334,1212,20,25,22.5,8782,Public University,March 1,3.43,71,6.0,1.0,4732-7251,17.0,http://boisestate.edu/
Brigham Young University Idaho,980,1200,1123,21,27,25.0,4656,Public University,2025-12-25,3.43,81,7.0,1.0,3989-10284,22.0,http://byui.edu/
The College of Idaho,1080,1270,1166,24,31,25.5,36030,Private College,February 1,3.68,84,7.0,1.0,6664-17786,33.0,http://collegeofidaho.edu/
College of Southern Idaho,1006,1404,1205,23,32,29.5,3360,Private College,Rolling,3.24,80,6.0,1.0,5772-11645,29.0,http://csi.edu/
Idaho State University,1059,1299,1190,19,28,22.5,8356,Public University,February 1,3.09,82,7.0,1.0,3762-8560,24.0,http://isu.edu/
University of Idaho,1072,1248,1154,17,26,23.5,8356,Public,2025-09-24,3.01,72,6.0,1.0,4257-7175,22.0,http://uidaho.edu/
Augustana College,1010,1250,1133,21,30,25.5,49834,Private College,February 1,3.31,76,7.0,1.0,8087-17241,25.0,http://augustana.edu/
Aurora University,930,1133,1072,17,25,23.0,28220,Public University,March 1,3.09,79,6.0,1.0,5749-11364,25.0,http://aurora.edu/
Benedictine University,1116,1357,1230,19,29,23.0,34290,Public University,July 1,2.97,83,7.0,0.0,5366-8175,23.0,http://ben.edu/
Bradley University,1090,1300,1237,21,29,25.0,39680,Private,February 1,3.23,78,7.0,1.0,8529-14686,27.0,http://bradley.edu/
City Colleges of Chicago,1106,1254,1194,22,26,25.0,4380,Private College,2025-09-14,3.55,78,6.0,1.0,5769-14597,27.0,http://ccc.edu/
The University of Chicago Booth School of Business,1065,1330,1190,23,28,27.5,23200,Private,June 1,3.55,88,6.5,1.0,8303-13535,37.0,http://chicagobooth.edu/
College of Lake County,1099,1375,1229,20,28,23.0,4494,Private College,June 1,3.52,90,6.5,1.0,5123-12245,39.0,http://clcillinois.edu/
College of DuPage,1178,1319,1240,20,26,22.0,4320,Private College,February 1,3.64,84,7.0,1.0,6791-18573,33.0,http://cod.edu/
Columbia College Chicago,1154,1370,1266,23,29,28.0,32520,Private College,February 1,3.12,80,7.0,1.0,7523-19203,29.0,http://colum.edu/
Danville Area Community College,824,982,894,16,22,17.0,5300,Public Community College,January 15,2.57,66,6.0,1.0,973-1694,10.0,http://dacc.edu/
DePaul University,1130,1340,1254,24,30,25.0,44460,Private,2025-12-07,3.37,86,6.5,1.0,8711-14918,35.0,http://depaul.edu/
Dominican University,934,1140,1022,19,23,20.0,37844,Public University,2025-07-01,3.15,85,7.0,1.0,5947-7961,16.0,http://dom.edu/
Eastern Illinois University,890,1110,1010,20,28,24.0,13403,Public University,February 1,2.91,82,7.0,1.0,5406-10729,25.0,http://eiu.edu/
Elmhurst College,1066,1330,1188,22,29,26.5,32920,Private College,January 15,3.36,89,6.5,1.0,7490-13262,38.0,http://elmhurst.edu/
Governors State,1088,1182,1117,19,25,21.0,11320,Public,January 15,3.04,71,6.5,1.0,2314-5212,19.0,http://govst.edu/
Greenville College,1088,1288,1197,24,29,24.5,32120,Private College,June 1,3.15,76,6.5,1.0,5457-12699,25.0,http://greenville.edu/
The Hadley School for the Blind,1074,1280,1191,19,26,21.5,12170,Public University,February 1,2.88,80,7.0,1.0,3070-9425,17.0,http://hadley.edu/
Harper College,1082,1296,1203,20,30,24.0,3822,Private College,March 1,3.44,87,6.0,1.0,7599-17117,36.0,http://harpercollege.edu/
Heartland Community College,818,1008,895,17,19,17.5,5460,Public Community College,June 1,2.54,69,6.0,1.0,1187-2782,14.0,http://heartland.edu/
Illinois Central College,1179,1248,1210,24,28,24.5,4650,Private College,March 1,3.13,75,6.0,0.0,8805-13904,40.0,http://icc.edu/
Illinois College of Optometry,1124,1312,1208,21,29,25.0,24060,Private College,June 1,3.33,80,6.5,1.0,8085-18015,29.0,http://ico.edu/
Illinois Institute of Technology,1180,1410,1296,17,27,24.0,51763,Public University,March 1,3.33,81,6.0,1.0,5675-8629,19.0,http://iit.edu/
University of Illinois at Urbana-Champaign,1270,1510,1418,21,25,24.0,16004,Public University,January 15,3.35,71,6.5,1.0,4939-11395,17.0,http://illinois.edu/
University of Illinois at Urbana-Champaign,1270,1510,1418,21,25,24.0,16004,Public University,January 15,3.35,71,6.5,1.0,4939-11395,17.0,http://illinois.edu/
Illinois State University,1010,1230,1127,21,23,22.5,16021,Public,January 15,3.49,85,6.5,1.0,4647-7194,18.0,http://illinoisstate.edu/
Illinois Mathematics and Science Academy,1099,1177,1145,19,22,19.5,14850,Public University,Rolling,3.11,84,6.0,1.0,5249-8551,25.0,http://imsa.edu/
Illinois Valley Community College,878,1094,978,16,19,16.5,4060,Public Community College,June 1,2.33,63,6.0,1.0,1535-2324,12.0,http://ivcc.edu/
Illinois Wesleyan University,1140,1330,1242,18,26,20.0,55704,Public University,June 1,3.17,72,6.5,1.0,2438-5849,16.0,http://iwu.edu/
John A. Logan College,1127,1376,1268,20,26,22.0,4630,Private College,February 1,3.21,86,7.0,1.0,5565-16633,35.0,http://jalc.edu/
Joliet Junior College,1160,1420,1292,20,28,23.0,4530,Private College,June 1,3.6,90,6.5,1.0,5763-12108,39.0,http://jjc.edu/
The John Marshall Law School,989,1206,1108,17,29,25.0,12450,Public University,January 15,3.04,83,6.5,1.0,4382-7205,16.0,http://jmls.edu/
Judson University,860,1080,985,20,27,23.5,30910,Public University,January 15,3.41,81,6.5,1.0,3434-9074,18.0,http://judsonu.edu/
Kaskaskia College,1166,1263,1226,23,27,26.5,4800,Private College,March 1,3.21,79,6.0,1.0,7610-14563,28.0,http://kaskaskia.edu/
Kankakee Community College,909,1088,1002,17,20,17.5,5070,Public Community College,July 1,2.52,64,6.5,1.0,1533-3025,10.0,http://kcc.edu/
IIT Chicago-Kent College of Law,1082,1368,1215,22,30,27.0,21890,Private College,March 1,3.27,77,6.0,1.0,8640-17045,26.0,http://iit.edu/
Kishwaukee College,1086,1278,1192,24,27,24.5,4980,Private College,Rolling,3.1,86,6.0,1.0,8174-18025,35.0,http://kishwaukeecollege.edu/
Knox College,1120,1385,1250,21,29,25.0,55587,Private College,July 1,3.13,79,7.0,1.0,7970-18789,28.0,http://knox.edu/
Lake Forest College,1170,1365,1309,24,27,24.5,54202,Private College,January 15,3.57,79,6.5,1.0,8865-17148,28.0,http://lakeforest.edu/
Lakeview College of Nursing,1048,1304,1185,22,27,25.5,20760,Private College,February 1,3.26,90,7.0,1.0,6062-17166,39.0,http://lakeviewcol.edu/
Lewis and Clark Community College,881,1021,936,15,22,20.5,3552,Public Community College,January 15,2.42,66,6.0,1.0,1396-2916,13.0,http://lc.edu/
Lewis University,990,1220,1117,21,24,23.5,37882,Public University,February 1,2.89,70,7.0,0.0,3939-10225,23.0,http://lewisu.edu/
Lincoln Land Community College,815,1000,894,17,19,17.5,3672,Public Community College,June 1,2.24,69,6.0,1.0,1042-2286,16.0,http://llcc.edu/
Loyola University Chicago,1160,1340,1283,19,29,23.0,51716,Public University,July 1,3.3,83,7.0,0.0,4539-10852,16.0,http://luc.edu/
Midwestern Career College,1040,1375,1196,22,32,28.0,39970,Private College,June 1,3.69,76,6.5,1.0,6522-11667,25.0,http://mccollege.edu/
McHenry County College,1095,1238,1184,23,27,26.5,4012,Private College,February 1,3.39,84,7.0,1.0,8912-19638,33.0,http://mchenry.edu/
McKendree University,1126,1241,1194,20,30,24.0,34070,Private,February 1,3.28,80,7.0,1.0,5121-16879,29.0,http://mckendree.edu/
Midwestern University,1013,1319,1148,19,24,20.5,15190,Public University,June 1,3.24,70,6.5,1.0,4392-11187,17.0,http://midwestern.edu/
Monmouth College,1010,1230,1128,22,26,25.0,43520,Private College,June 1,3.17,82,6.5,1.0,8156-20015,31.0,http://monmouthcollege.edu/
Moraine Valley Community College,803,923,857,16,19,16.5,3822,Public,June 1,2.54,75,6.0,1.0,1621-3121,14.0,http://morainevalley.edu/
Morton College,1027,1256,1130,22,30,27.0,4884,Private College,February 1,3.47,78,7.0,1.0,6820-17045,27.0,http://morton.edu/
Northeastern Illinois University,1000,1267,1120,20,23,21.5,12383,Public,March 1,2.91,77,6.0,1.0,5276-11380,20.0,http://neiu.edu/
Northern Illinois University,1050,1304,1176,17,29,25.0,12700,Public University,July 1,3.03,75,7.0,1.0,4324-10832,22.0,http://niu.edu/
National Louis University,1055,1189,1140,19,25,21.0,12345,Public University,January 15,3.05,72,6.0,1.0,3938-10076,19.0,http://nl.edu/
North Park University,1032,1341,1202,17,28,24.5,35325,Public University,2025-05-01,3.06,82,7.0,1.0,4895-8634,21.0,http://northpark.edu/
Northwestern University,1490,1560,1526,18,27,20.5,65997,Public University,July 1,3.34,73,7.0,1.0,2062-4655,18.0,http://northwestern.edu/
Oakton Community College,873,1108,1006,17,23,19.0,80000,Public Community College,February 1,2.55,61,6.5,1.0,1596-2341,10.0,http://oakton.edu/
Olivet Nazarene University,960,1190,1103,20,22,21.0,37940,Public University,June 1,3.01,84,6.5,1.0,2646-5175,20.0,http://olivet.edu/
Chicago ORT Technical Institute,974,1332,1149,20,26,23.0,13650,Public Technical College,June 1,2.82,72,6.5,1.0,3639-8688,16.0,http://ortchicagotech.edu/
Parkland College,1174,1282,1216,24,30,25.0,4284,Private College,June 1,3.17,76,6.5,1.0,5356-16813,25.0,http://parkland.edu/
Prairie State College,977,1339,1145,18,23,18.5,4176,Public College,January 15,3.28,77,6.5,1.0,3630-6297,21.0,http://prairiestate.edu/
Principia College,1040,1250,1096,24,31,25.5,33280,Private College,2025-05-01,3.57,76,7.0,1.0,5671-15470,25.0,http://principiacollege.edu/
Resurrection University,1083,1416,1236,21,32,26.5,29880,Private,Rolling,3.1,76,6.0,1.0,7402-18714,25.0,http://resu.edu/
Robert Morris University Illinois,946,1284,1128,17,27,24.0,11470,Public University,March 1,3.37,55,6.0,1.0,3641-9385,21.0,http://robertmorris.edu/
Rockford University,850,1070,984,19,28,22.5,37300,Public University,2025-03-01,3.1,74,6.5,1.0,4066-6991,17.0,http://rockford.edu/
Rock Valley College,1110,1290,1218,23,28,27.5,4274,Private College,March 1,3.44,81,6.0,1.0,8667-13850,30.0,http://rockvalleycollege.edu/
Roosevelt University,820,1090,1000,19,29,23.0,20280,Public University,2025-04-15,3.27,75,6.5,1.0,3924-9651,15.0,http://roosevelt.edu/
