University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Caldwell University,Private University (Nonprofit),Caldwell,NJ,"Caldwell, NJ",Unranked,Estimated (SAT-based),71.3,1130.0,1370.0,1250.0,19.0,25.0,22.0,Test-Optional,3.35,84.0,6.5,40800,40800,40800,January 1,Merit and need-based scholarships available,Yes,3.0,Optional for most programs,149.0,153.0,89.0,7.0,33100.0,December 15,2.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.caldwell.edu/
California Baptist University,Private University (Nonprofit),Riverside,CA,"Riverside, CA",Unranked,Estimated (type-based),84.9,1030.0,1160.0,1100.0,22.0,25.0,24.0,Test-Optional,3.1,80.0,6.5,41200,41200,41200,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,151.0,153.0,85.0,7.0,35100.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calbaptist.edu/
California Beauty College,Private University (For-Profit),Modesto,CA,"Modesto, CA",Unranked,Estimated (type-based),84.0,935.0,1050.0,992.0,19.0,22.0,20.0,Not required,2.6,80.0,6.5,17500,17500,17500,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calbeautycollege.edu/
California College of ASU,Private University (Nonprofit),Los Angeles,CA,"Los Angeles, CA",Unranked,Estimated (type-based),66.7,1100.0,1240.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,25200,25200,25200,January 1,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,21500.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://californiacollege.asu.edu/
California College of the Arts,Private University (Nonprofit),San Francisco,CA,"San Francisco, CA",Unranked,Estimated (type-based),91.1,1060.0,1190.0,1120.0,23.0,26.0,24.0,Test-Optional,3.14,80.0,6.5,60200,60200,60200,January 1,Need-based aid; merit scholarships available,Yes,2.75,Not required,150.0,152.0,85.0,7.0,51300.0,December 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.cca.edu/
California Hair Design Academy,Private University (For-Profit),La Mesa,CA,"La Mesa, CA",Unranked,Estimated (type-based),83.2,950.0,1060.0,1005.0,20.0,23.0,22.0,Not required,2.66,80.0,6.5,17100,17100,17100,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://chdaschools.com/
California Institute of Integral Studies,Private University (Nonprofit),San Francisco,CA,"San Francisco, CA",Unranked,Estimated (type-based),69.7,1110.0,1260.0,1170.0,24.0,28.0,26.0,Test-Optional,3.27,80.0,6.5,37600,37600,37600,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),153.0,155.0,85.0,7.0,33000.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.ciis.edu/
California Institute of Technology,Private University (Nonprofit),Pasadena,CA,"Pasadena, CA",Unranked,Verified,2.6,1370.0,1540.0,1450.0,30.0,35.0,32.0,Required,3.83,79.0,6.5,65900,65900,65900,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,3.5,Required for some programs; optional for others,162.0,166.0,79.0,6.5,57100.0,December 15,3.0,Yes,Verified (official admissions page),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.caltech.edu/
California Institute of the Arts,Private University (Nonprofit),Valencia,CA,"Valencia, CA",Unranked,Estimated (type-based),32.3,1260.0,1410.0,1340.0,28.0,31.0,30.0,Test-Optional,3.61,80.0,6.5,59000,59000,59000,December 1 (ED); January 1 (RD),Institutional grants and scholarships; FAFSA required,Yes,3.0,Not required,157.0,160.0,85.0,7.0,51200.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calarts.edu/
California Lutheran University,Private University (Nonprofit),Thousand Oaks,CA,"Thousand Oaks, CA",Unranked,Estimated (SAT-based),75.7,1150.0,1330.0,1240.0,24.0,31.0,28.0,Test-Optional,3.41,80.0,6.5,52600,52600,52600,January 15,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,45800.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.callutheran.edu/
California Polytechnic State University-San Luis Obispo,Public University,San Luis Obispo,CA,"San Luis Obispo, CA",Unranked,Estimated (type-based),31.3,1200.0,1360.0,1280.0,26.0,30.0,28.0,Test-Optional,3.45,79.0,6.5,13600,34700,34700,February 1,State and federal aid; merit scholarships available,Yes,3.0,Optional (varies by department),158.0,160.0,84.0,7.0,23800.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://calpoly.edu/
California State Polytechnic University-Humboldt,Public University,Arcata,CA,"Arcata, CA",Unranked,Estimated (type-based),98.2,1000.0,1140.0,1060.0,21.0,25.0,23.0,Test-Optional,3.03,79.0,6.5,8200,20800,20800,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,148.0,150.0,84.0,7.0,15000.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.humboldt.edu/
California State Polytechnic University-Pomona,Public University,Pomona,CA,"Pomona, CA",Unranked,Estimated (type-based),75.2,1050.0,1200.0,1140.0,22.0,26.0,24.0,Test-Optional,3.19,79.0,6.5,7800,20400,20400,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,151.0,153.0,84.0,7.0,14700.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.cpp.edu/
California State University Maritime Academy,Public University,Vallejo,CA,"Vallejo, CA",Unranked,Estimated (type-based),95.0,980.0,1150.0,1070.0,21.0,25.0,23.0,Test-Optional,3.05,79.0,6.5,9900,22500,22500,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,16200.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csum.edu/
California State University-Bakersfield,Public University,Bakersfield,CA,"Bakersfield, CA",Unranked,Estimated (type-based),93.8,1010.0,1170.0,1080.0,21.0,25.0,23.0,Test-Optional,3.07,79.0,6.5,8100,20700,20700,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14900.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csub.edu/
California State University-Chico,Public University,Chico,CA,"Chico, CA",Unranked,Estimated (type-based),92.7,1000.0,1160.0,1080.0,21.0,25.0,23.0,Test-Optional,3.07,79.0,6.5,8500,21100,21100,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,15200.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csuchico.edu/
California State University-Dominguez Hills,Public University,Carson,CA,"Carson, CA",Unranked,Estimated (type-based),93.3,1000.0,1150.0,1080.0,21.0,25.0,23.0,Test-Optional,3.07,79.0,6.5,7400,20000,20000,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14500.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csudh.edu/
California State University-East Bay,Public University,Hayward,CA,"Hayward, CA",Unranked,Estimated (type-based),97.4,1010.0,1140.0,1070.0,21.0,25.0,23.0,Test-Optional,3.05,79.0,6.5,7600,20200,20200,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,148.0,150.0,84.0,7.0,14600.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csueastbay.edu/
California State University-Fresno,Public University,Fresno,CA,"Fresno, CA",Unranked,Estimated (type-based),95.3,990.0,1140.0,1070.0,21.0,25.0,23.0,Test-Optional,3.05,79.0,6.5,7400,20000,20000,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14400.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.fresnostate.edu/
California State University-Fullerton,Public University,Fullerton,CA,"Fullerton, CA",Unranked,Estimated (type-based),90.5,1010.0,1180.0,1090.0,21.0,26.0,24.0,Test-Optional,3.09,79.0,6.5,7500,20100,20100,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14500.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.fullerton.edu/
California State University-Long Beach,Public University,Long Beach,CA,"Long Beach, CA",Unranked,Estimated (type-based),46.3,1160.0,1330.0,1240.0,25.0,29.0,27.0,Test-Optional,3.39,79.0,6.5,7400,20000,20000,November 30,State and federal aid; merit scholarships available,Yes,3.0,Optional (varies by department),156.0,158.0,84.0,7.0,14400.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csulb.edu/
California State University-Los Angeles,Public University,Los Angeles,CA,"Los Angeles, CA",Unranked,Estimated (type-based),91.2,1010.0,1180.0,1090.0,21.0,26.0,24.0,Test-Optional,3.09,79.0,6.5,7200,19800,19800,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14300.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calstatela.edu/
California State University-Northridge,Public University,Northridge,CA,"Northridge, CA",Unranked,Estimated (type-based),93.5,1020.0,1160.0,1080.0,22.0,25.0,24.0,Test-Optional,3.07,79.0,6.5,7500,20100,20100,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14500.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csun.edu/
California State University-Sacramento,Public University,Sacramento,CA,"Sacramento, CA",Unranked,Estimated (type-based),94.0,1010.0,1160.0,1080.0,21.0,25.0,23.0,Test-Optional,3.07,79.0,6.5,8000,20600,20600,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14900.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csus.edu/
California State University-San Bernardino,Public University,San Bernardino,CA,"San Bernardino, CA",Unranked,Estimated (type-based),93.7,1020.0,1140.0,1080.0,22.0,25.0,24.0,Test-Optional,3.07,79.0,6.5,8100,20700,20700,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,149.0,151.0,84.0,7.0,14900.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csusb.edu/
California State University-Stanislaus,Public University,Turlock,CA,"Turlock, CA",Unranked,Estimated (type-based),98.1,970.0,1130.0,1060.0,20.0,24.0,22.0,Test-Optional,3.03,79.0,6.5,8200,20800,20800,November 30,State and federal aid; merit scholarships available,Yes,2.75,Not required,148.0,150.0,84.0,7.0,15000.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.csustan.edu/
California Western School of Law,Private University (Nonprofit),San Diego,CA,"San Diego, CA",Unranked,Estimated (type-based),68.1,1080.0,1260.0,1170.0,23.0,28.0,26.0,Test-Optional,3.26,80.0,6.5,36800,36800,36800,January 15,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,31800.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.cwsl.edu/
Calumet College of Saint Joseph,Private University (Nonprofit),Whiting,IN,"Whiting, IN",Unranked,Estimated (type-based),63.4,1080.0,1230.0,1160.0,23.0,27.0,25.0,Test-Optional,3.19,80.0,6.5,23800,23800,23800,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,153.0,156.0,85.0,7.0,19200.0,February 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.ccsj.edu/
Calvary University,Private University (Nonprofit),Kansas City,MO,"Kansas City, MO",Unranked,Estimated (SAT-based),71.7,980.0,1140.0,1060.0,17.0,24.0,20.0,Test-Optional,2.99,79.0,6.5,14100,14100,14100,January 1,Merit scholarships and need-based aid available,Yes,2.75,Not required,152.0,155.0,84.0,7.0,10900.0,February 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calvary.edu/
Calvin Theological Seminary,Private University (Nonprofit),Grand Rapids,MI,"Grand Rapids, MI",Unranked,Estimated (type-based),66.6,1100.0,1230.0,1170.0,24.0,27.0,26.0,Test-Optional,3.24,80.0,6.5,36000,36000,36000,January 15,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,30600.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calvinseminary.edu/
Calvin University,Private University (Nonprofit),Grand Rapids,MI,"Grand Rapids, MI",Unranked,Estimated (SAT-based),70.9,1080.0,1330.0,1210.0,24.0,30.0,27.0,Test-Optional,3.29,80.0,6.5,39400,39400,39400,January 1,Merit scholarships and need-based aid available,Yes,3.0,Optional for most programs,149.0,153.0,85.0,7.0,32600.0,January 1,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.calvin.edu/
Cambridge College,Private University (Nonprofit),Boston,MA,"Boston, MA",Unranked,Estimated (type-based),70.1,1100.0,1260.0,1170.0,24.0,28.0,26.0,Test-Optional,3.28,80.0,6.5,18400,18400,18400,January 1,Need-based aid; merit scholarships available,Yes,2.75,Not required,153.0,155.0,85.0,7.0,16800.0,January 1,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.cambridgecollege.edu/
Camden County College,Public Community College,Blackwood,NJ,"Blackwood, NJ",Unranked,Estimated (type-based),83.2,850.0,990.0,920.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,4300,4400,4400,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.camdencc.edu/
Cameo Beauty Academy,Private University (For-Profit),Oak Lawn,IL,"Oak Lawn, IL",Unranked,Estimated (type-based),82.9,965.0,1080.0,1022.0,20.0,23.0,22.0,Not required,2.72,80.0,6.5,17000,17000,17000,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.cameobeautyacademy.com/
Campbellsville University,Private University (Nonprofit),Campbellsville,KY,"Campbellsville, KY",Unranked,Estimated (type-based),79.7,1020.0,1190.0,1100.0,22.0,26.0,24.0,Test-Optional,3.05,80.0,6.5,28000,28000,28000,December 1 (ED); January 1 (RD),Merit and need-based scholarships available,Yes,2.75,Not required,151.0,154.0,85.0,7.0,22200.0,January 15,2.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.campbellsville.edu/
Canada College,Public Community College,Redwood City,CA,"Redwood City, CA",Unranked,Estimated (type-based),81.8,815.0,965.0,890.0,16.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,1300,11400,11400,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://canadacollege.edu/
Canisius University,Private University (Nonprofit),Buffalo,NY,"Buffalo, NY",Unranked,Estimated (type-based),72.4,1070.0,1190.0,1130.0,23.0,26.0,24.0,Test-Optional,3.13,80.0,6.5,34500,34500,34500,November 1 (ED); January 15 (RD),Need-based aid; merit scholarships available,Yes,2.75,Not required,152.0,155.0,85.0,7.0,28300.0,January 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.canisius.edu/
Cannella School of Hair Design-Chicago,Private University (For-Profit),Chicago,IL,"Chicago, IL",Unranked,Estimated (type-based),82.4,970.0,1080.0,1025.0,20.0,23.0,22.0,Not required,2.51,80.0,6.5,16700,16700,16700,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://cannellaschool.com/
Cannella School of Hair Design-Villa Park,Private University (For-Profit),Villa Park,IL,"Villa Park, IL",Unranked,Estimated (type-based),82.4,945.0,1070.0,1007.0,20.0,23.0,22.0,Not required,2.55,80.0,6.5,16700,16700,16700,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://cannellaschool.com/
Cape Cod Community College,Public Community College,West Barnstable,MA,"West Barnstable, MA",Unranked,Estimated (type-based),82.2,860.0,980.0,920.0,18.0,21.0,20.0,Not required (open admission),N/A (Open Admission),61.0,5.5,6000,10900,10900,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capecod.edu/
Cape Girardeau Career and Technology Center,Public Community College,Cape Girardeau,MO,"Cape Girardeau, MO",Unranked,Estimated (type-based),86.1,815.0,960.0,887.0,16.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5700,10200,10200,August 1,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capectc.org/
Capital Health School of Nursing,Public Community College,Trenton,NJ,"Trenton, NJ",Unranked,Estimated (type-based),87.6,855.0,980.0,917.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5900,10400,10400,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capitalhealth.org/professionals/school-of-nursing
Capital Health School of Radiologic Technology,Public Community College,Trenton,NJ,"Trenton, NJ",Unranked,Estimated (type-based),87.6,855.0,975.0,915.0,17.0,20.0,18.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5900,10400,10400,Rolling admissions,Federal Pell Grant eligible; state aid available,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capitalhealth.org/professionals/school-of-radiologic-technology
Capitol Technology University,Private University (Nonprofit),Laurel,MD,"Laurel, MD",Unranked,Estimated (type-based),74.4,1090.0,1240.0,1170.0,23.0,27.0,25.0,Test-Optional,3.3,80.0,6.5,27600,27600,27600,January 1,Institutional grants and scholarships; FAFSA required,Yes,2.75,Optional (varies by department),152.0,154.0,85.0,7.0,25400.0,December 15,3.0,Yes,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.captechu.edu/
Capri Beauty College,Private University (For-Profit),Oak Forest,IL,"Oak Forest, IL",Unranked,Estimated (type-based),83.1,945.0,1055.0,1000.0,20.0,22.0,21.0,Not required,2.48,80.0,6.5,17100,17100,17100,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://capri.edu/
Capri College-Cedar Rapids,Private University (For-Profit),Cedar Rapids,IA,"Cedar Rapids, IA",Unranked,Estimated (type-based),84.1,965.0,1075.0,1020.0,20.0,23.0,22.0,Not required,2.56,80.0,6.5,17500,17500,17500,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capricollege.edu/
Capri College-Davenport,Private University (For-Profit),Davenport,IA,"Davenport, IA",Unranked,Estimated (type-based),83.2,950.0,1050.0,1000.0,20.0,22.0,21.0,Not required,2.52,80.0,6.5,17100,17100,17100,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capricollege.edu/
Capri College-Dubuque,Private University (For-Profit),Dubuque,IA,"Dubuque, IA",Unranked,Estimated (type-based),85.7,950.0,1050.0,1000.0,20.0,22.0,21.0,Not required,2.43,80.0,6.5,18400,18400,18400,Rolling admissions,Title IV federal aid eligible,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.capricollege.edu/
Capri Cosmetology Learning Centers,Private University (For-Profit),Nanuet,NY,"Nanuet, NY",Unranked,Estimated (type-based),82.7,930.0,1045.0,987.0,19.0,22.0,20.0,Not required,2.72,80.0,6.5,16900,16900,16900,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://caprinow.edu/
Career Academy of Beauty,Private University (For-Profit),Garden Grove,CA,"Garden Grove, CA",Unranked,Estimated (type-based),82.4,935.0,1045.0,990.0,19.0,22.0,20.0,Not required,2.68,80.0,6.5,16700,16700,16700,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://caofb.com/
Career Academy of Hair Design,Private University (For-Profit),Springdale,AR,"Springdale, AR",Unranked,Estimated (type-based),82.6,975.0,1100.0,1037.0,20.0,24.0,22.0,Not required,2.76,80.0,6.5,16800,16800,16800,Rolling admissions,Federal financial aid eligible; institutional payment plans,No,0.0,Not applicable,0.0,0.0,85.0,7.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.beautynwa.com/
Carl Sandburg College,Public Community College,Galesburg,IL,"Galesburg, IL",Unranked,Estimated (type-based),82.2,855.0,985.0,920.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,5400,8900,8900,Rolling admissions,Need-based aid; local foundation scholarships,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.sandburg.edu/
Carleton College,Private University (Nonprofit),Northfield,MN,"Northfield, MN",Unranked,Estimated (SAT-based),20.4,1450.0,1560.0,1500.0,32.0,34.0,33.0,Required,3.89,100.0,7.0,68900,68900,68900,January 15,Merit scholarships and need-based aid available,Yes,3.5,Required for some programs; optional for others,158.0,163.0,105.0,7.5,57900.0,January 15,3.0,Yes,Estimated (SAT-tier proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.carleton.edu/
Carnegie Institute,Public Community College,Troy,MI,"Troy, MI",Unranked,Estimated (type-based),86.4,855.0,1010.0,932.0,17.0,21.0,19.0,Not required (open admission),N/A (Open Admission),61.0,5.5,15600,15600,15600,Rolling admissions,FAFSA eligible; community foundation grants,No,0.0,Not applicable,0.0,0.0,66.0,6.0,0.0,Not applicable,0.0,Not applicable,Estimated (institution-type proxy),US Dept of Education College Scorecard API (verified); TOEFL/IELTS: see TOEFL_IELTS_Source column,https://www.carnegie-institute.edu/
