University,City,State,Location,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL,GPA_Min
Chattahoochee Valley Community College,Phenix City,AL,"Phenix City, AL",820,950,885,17,20,18,9000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.cv.edu/,0
Chesapeake College,Wye Mills,MD,"Wye Mills, MD",855,1010,932,17,21,19,8800,Public Community College,1-Aug,3.17,61,5.5,1,7922-14154,32,http://chesapeake.edu/,0
Chicago State University,Chicago,IL,"Chicago, IL",1160,1320,1240,25,29,27,12800,Public University,1-Feb,3.37,79,6.5,1,1104-2112,22,https://www.csu.edu/,3
Chicago Theological Seminary,Chicago,IL,"Chicago, IL",1100,1250,1170,24,27,26,37000,Private University,1-Feb,3.26,80,6.5,1,1104-2112,22,https://www.ctschicago.edu/,2.75
Chief Dull Knife College,Lame Deer,MT,"Lame Deer, MT",820,940,880,17,20,18,2000,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://cdkc.edu/,0
Chipola College,Marianna,FL,"Marianna, FL",1070,1210,1140,23,26,24,9000,Public University,1-Feb,3.2,79,6.5,1,7930-17742,27,http://chipola.edu/,2.75
Chris Beauty College,Gulfport,MS,"Gulfport, MS",980,1090,1035,21,23,22,17200,Private University,Rolling,2.62,80,6.5,1,1104-2112,22,https://www.chrisbeautycollege.edu/,0
Christian Theological Seminary,Indianapolis,IN,"Indianapolis, IN",1080,1240,1160,23,27,25,33200,Private University,1-Jan,3.16,80,6.5,1,1104-2112,22,https://www.cts.edu/,2.75
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,"New York, NY",925,1030,977,19,22,20,19400,Private University,Rolling,2.74,80,6.5,1,1104-2112,22,https://www.christinevalmy.com/,0
Church Divinity School of the Pacific,Berkeley,CA,"Berkeley, CA",1090,1230,1160,23,27,25,34600,Private University,15-Jan,3.19,80,6.5,1,1104-2112,22,https://www.cdsp.edu/,2.75
Circle in the Square Theatre School,New York,NY,"New York, NY",915,1020,967,19,22,20,25600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.circlesquare.org/,0
Citrus College,Glendora,CA,"Glendora, CA",855,975,915,17,20,18,10600,Public Community College,Rolling,3.17,61,5.5,1,6921-18266,40,http://citruscollege.edu/,0
Citrus Heights Beauty College,Citrus Heights,CA,"Citrus Heights, CA",965,1105,1035,20,24,22,17000,Private University,Rolling,2.42,80,6.5,1,1104-2112,22,https://chbeautycollege.com/,0
City College of San Francisco,San Francisco,CA,"San Francisco, CA",835,975,905,17,20,18,14700,Public Community College,Rolling,3.17,61,5.5,1,7119-11681,30,http://ccsf.edu/,0
City Colleges of Chicago-Harold Washington College,Chicago,IL,"Chicago, IL",815,935,875,16,19,18,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/washington/Pages/default.aspx,0
City Colleges of Chicago-Harry S Truman College,Chicago,IL,"Chicago, IL",835,985,910,17,21,19,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/truman/Pages/default.aspx,0
City Colleges of Chicago-Kennedy-King College,Chicago,IL,"Chicago, IL",835,945,890,17,20,18,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/kennedy/pages/default.aspx,0
City Colleges of Chicago-Malcolm X College,Chicago,IL,"Chicago, IL",845,1000,922,17,21,19,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/malcolm-x/pages/default.aspx,0
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,"Chicago, IL",845,950,897,17,20,18,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/olive-harvey/Pages/default.aspx,0
City Colleges of Chicago-Richard J Daley College,Chicago,IL,"Chicago, IL",830,980,905,17,21,19,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/daley/pages/default.aspx,0
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,"Chicago, IL",855,995,925,17,21,19,15200,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccc.edu/colleges/wright/pages/default.aspx,0
Claremont Graduate University,Claremont,CA,"Claremont, CA",1080,1250,1170,23,27,25,35600,Private University,1-Jan,3.23,80,6.5,1,4525-7745,15,http://cgu.edu/,2.75
Claremont McKenna College,Claremont,CA,"Claremont, CA",1470,1560,1520,33,35,34,68000,Private University,1-Jan,3.96,100,7,1,5339-9822,19,http://cmc.edu/,3.5
Claremont School of Theology,Los Angeles,CA,"Los Angeles, CA",1100,1230,1170,24,27,26,37400,Private University,1-Feb,3.27,80,6.5,1,1104-2112,22,https://www.cst.edu/,2.75
Clark Atlanta University,Atlanta,GA,"Atlanta, GA",1110,1250,1180,24,27,26,28300,Private University,1-Jan,3.26,80,6.5,1,1104-2112,22,https://www.cau.edu/,2.75
Clark University,Worcester,MA,"Worcester, MA",1290,1460,1370,30,33,32,58900,Private University,15-Jan,3.65,90,7,1,5692-9146,24,http://clarku.edu/,3.3
Clarke University,Dubuque,IA,"Dubuque, IA",900,1160,1030,16,24,20,40900,Private University,1-Jan,2.92,71,6,1,1104-2112,22,https://www.clarke.edu/,2.75
Clarkson College,Omaha,NE,"Omaha, NE",1060,1190,1120,23,26,24,16100,Private University,1-Feb,3.12,80,6.5,1,1104-2112,22,https://www.clarksoncollege.edu/,2.75
Clarkson University,Potsdam,NY,"Potsdam, NY",1200,1390,1300,25,32,28,59400,Private University,1-Jan,3.45,84,6.5,1,4367-9049,17,http://clarkson.edu/,3
Clayton  State University,Morrow,GA,"Morrow, GA",860,1080,970,15,19,17,16500,Public University,1-Feb,2.86,71,6,1,1104-2112,22,https://www.clayton.edu/,2.75
Clear Creek Baptist Bible College,Pineville,KY,"Pineville, KY",1100,1240,1160,24,27,26,10700,Private University,15-Jan,3.17,80,6.5,1,1104-2112,22,https://ccbbc.edu/,2.75
Cleary University,Howell,MI,"Howell, MI",1070,1220,1150,23,27,25,26100,Private University,15-Jan,3.18,80,6.5,1,1104-2112,22,https://www.cleary.edu/,2.75
Cleveland University-Kansas City,Overland Park,KS,"Overland Park, KS",1050,1200,1130,22,26,24,14400,Private University,15-Jan,3.11,80,6.5,1,1104-2112,22,https://www.cleveland.edu/,2.75
Clinton Community College,Plattsburgh,NY,"Plattsburgh, NY",830,960,895,17,20,18,6800,Public Community College,1-Aug,3.17,61,5.5,1,1260-2449,10,http://clinton.edu/,0
Cloud County Community College,Concordia,KS,"Concordia, KS",855,970,912,17,20,18,4500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.cloud.edu/,0
Clovis Adult Education,Clovis,CA,"Clovis, CA",1070,1190,1130,23,26,24,21100,Public University,15-Jan,3.12,79,6.5,1,1104-2112,22,https://clovisadult.cusd.com/,0
Clovis Community College,Clovis,NM,"Clovis, NM",830,940,885,17,20,18,3300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.clovis.edu/,0
Cloyd's Beauty School 1 Inc,West Monroe,LA,"West Monroe, LA",960,1070,1015,20,23,22,19100,Private University,Rolling,2.55,80,6.5,1,1104-2112,22,https://cloydsbeautyschools.edu/,0
Coahoma Community College,Clarksdale,MS,"Clarksdale, MS",820,950,885,17,20,18,3500,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.coahomacc.edu/,0
Coalinga College,Coalinga,CA,"Coalinga, CA",840,955,897,17,20,18,11000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.westhillscollege.com/coalinga/,0
Coastal Alabama Community College,Bay Minette,AL,"Bay Minette, AL",825,935,880,17,19,18,8900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.coastalalabama.edu/,0
Coastline Community College,Fountain Valley,CA,"Fountain Valley, CA",855,985,920,17,21,19,11600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.coastline.edu/,0
Coba Academy,Anaheim,CA,"Anaheim, CA",970,1085,1027,20,23,22,18200,Private University,Rolling,2.49,80,6.5,1,1104-2112,22,https://www.coba.edu/,0
Cochise County Community College District,Sierra Vista,AZ,"Sierra Vista, AZ",1060,1220,1140,23,27,25,6100,Public University,30-Nov,3.18,79,6.5,1,1104-2112,22,https://www.cochise.edu/,2.75
Cochran School of Nursing,Yonkers,NY,"Yonkers, NY",835,965,900,17,20,18,10300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.cochranschoolofnursing.us/,0
Coe College,Cedar Rapids,IA,"Cedar Rapids, IA",1070,1290,1180,23,29,26,54700,Private University,15-Jan,3.25,80,6.5,1,8750-17815,31,http://coe.edu/,3
Coffeyville Community College,Coffeyville,KS,"Coffeyville, KS",855,965,910,17,20,18,4700,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.coffeyville.edu/,0
Colby College,Waterville,ME,"Waterville, ME",1460,1550,1500,32,34,33,69600,Private University,1-Jan,3.95,100,7,1,7883-19467,28,http://colby.edu/,3.5
Colby Community College,Colby,KS,"Colby, KS",845,965,905,17,20,18,5800,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.colbycc.edu/,0
Colby-Sawyer College,New London,NH,"New London, NH",1050,1180,1110,22,26,24,19100,Private University,1-Jan,3.1,80,6.5,1,1104-2112,22,https://www.colby-sawyer.edu/,2.75
Colgate Rochester Crozer Divinity School,Rochester,NY,"Rochester, NY",1110,1260,1170,24,28,26,37200,Private University,15-Jan,3.26,80,6.5,1,1104-2112,22,https://www.crcds.edu/,2.75
Colgate University,Hamilton,NY,"Hamilton, NY",1430,1540,1480,33,34,34,70300,Private University,15-Jan,3.82,100,7,1,3603-7292,22,http://colgate.edu/,3.5
College for Creative Studies,Detroit,MI,"Detroit, MI",1060,1210,1120,23,26,24,53400,Private University,1-Jan,3.13,80,6.5,1,8766-16380,29,http://collegeforcreativestudies.edu/,2.75
College of Alameda,Alameda,CA,"Alameda, CA",830,985,907,17,21,19,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://alameda.edu/,0
College of Central Florida,Ocala,FL,"Ocala, FL",1070,1200,1140,23,26,24,10500,Public University,1-Feb,3.16,79,6.5,1,6694-13557,40,http://cf.edu/,2.75
College of Coastal Georgia,Brunswick,GA,"Brunswick, GA",880,1100,990,17,22,20,10900,Public University,1-Mar,2.85,71,6,1,1104-2112,22,https://www.ccga.edu/,2.75
College of Court Reporting Inc,Valparaiso,IN,"Valparaiso, IN",835,965,900,17,20,18,10100,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.ccr.edu/,0
College of DuPage,Glen Ellyn,IL,"Glen Ellyn, IL",845,955,900,17,20,18,12800,Public Community College,1-Aug,3.17,61,5.5,1,6791-18573,33,http://cod.edu/,0
College of Eastern Idaho,Idaho Falls,ID,"Idaho Falls, ID",815,970,892,16,20,18,6800,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.cei.edu/,0
College of Hair Design-Downtown,Lincoln,NE,"Lincoln, NE",820,925,872,17,19,18,10100,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://collegeofhairdesign.com/,0
College of Lake County,Grayslake,IL,"Grayslake, IL",845,985,915,17,21,19,14400,Public Community College,Rolling,3.17,61,5.5,1,5123-12245,39,http://clcillinois.edu/,0
College of Marin,Kentfield,CA,"Kentfield, CA",815,930,872,16,19,18,9300,Public Community College,1-Aug,3.17,61,5.5,1,5399-10585,40,http://marin.edu/,0
College of Our Lady of the Elms,Chicopee,MA,"Chicopee, MA",1030,1180,1110,22,26,24,43300,Private University,1-Jan,3.14,80,6.5,1,1104-2112,22,https://www.elms.edu/,2.75
College of Saint Benedict,Saint Joseph,MN,"Saint Joseph, MN",1050,1230,1140,20,27,24,55800,Private University,15-Jan,3.19,79,6.5,1,1104-2112,22,https://csbsju.edu/,2.75
College of Saint Mary,Omaha,NE,"Omaha, NE",1080,1220,1150,18,26,22,24500,Private University,15-Jan,3.23,80,6.5,1,1104-2112,22,https://www.csm.edu/,3
College of San Mateo,San Mateo,CA,"San Mateo, CA",825,960,892,17,20,18,11400,Public Community College,Rolling,3.17,61,5.5,1,5602-9710,19,http://collegeofsanmateo.edu/,0
College of Southern Idaho,Twin Falls,ID,"Twin Falls, ID",1070,1220,1140,23,27,25,6800,Public University,1-Feb,3.18,79,6.5,1,5772-11645,29,http://csi.edu/,2.75
College of Southern Maryland,La Plata,MD,"La Plata, MD",815,930,872,16,19,18,10000,Public Community College,Rolling,3.17,61,5.5,1,6819-13707,27,http://csmd.edu/,0
College of Southern Nevada,Las Vegas,NV,"Las Vegas, NV",1060,1210,1140,23,26,24,13000,Public University,1-Feb,3.18,79,6.5,1,6088-10868,28,http://csn.edu/,2.75
College of Staten Island CUNY,Staten Island,NY,"Staten Island, NY",890,1250,1070,14,20,17,15400,Public University,30-Nov,3.08,79,6.5,1,1104-2112,22,https://www.csi.cuny.edu/,2.75
College of the Atlantic,Bar Harbor,ME,"Bar Harbor, ME",1240,1430,1340,21,27,24,48000,Private University,1-Jan,3.53,84,6.5,1,8900-15345,36,http://coa.edu/,3.3
College of the Canyons,Santa Clarita,CA,"Santa Clarita, CA",850,960,905,17,20,18,11000,Public Community College,Rolling,3.17,61,5.5,1,6700-17160,38,http://canyons.edu/,0
College of the Desert,Palm Desert,CA,"Palm Desert, CA",860,970,915,18,20,19,10200,Public Community College,Rolling,3.17,61,5.5,1,7374-11673,31,http://collegeofthedesert.edu/,0
College of the Holy Cross,Worcester,MA,"Worcester, MA",1240,1410,1320,27,32,30,64500,Private University,1-Jan,3.5,84,6.5,1,8143-15002,36,http://holycross.edu/,3.3
College of the Ozarks,Point Lookout,MO,"Point Lookout, MO",1050,1220,1140,20,25,22,22300,Private University,1-Jan,3.17,79,6.5,1,1104-2112,22,https://www.cofo.edu/,2.75
College of the Redwoods,Eureka,CA,"Eureka, CA",835,965,900,17,20,18,8900,Public Community College,Rolling,3.17,61,5.5,1,7002-17397,37,http://redwoods.edu/,0
College of the Sequoias,Visalia,CA,"Visalia, CA",845,985,915,17,21,19,9000,Public Community College,Rolling,3.17,61,5.5,1,5932-16337,25,http://cos.edu/,0
College of the Siskiyous,Weed,CA,"Weed, CA",860,990,925,18,21,20,9400,Public Community College,Rolling,3.17,61,5.5,1,7947-14219,25,http://siskiyous.edu/,0
Colorado Christian University,Lakewood,CO,"Lakewood, CO",1090,1230,1170,23,27,25,41300,Private University,1-Jan,3.25,80,6.5,1,1104-2112,22,https://www.ccu.edu/,2.75
Colorado College,Colorado Springs,CO,"Colorado Springs, CO",1230,1460,1340,29,33,31,70700,Private University,15-Jan,3.56,84,6.5,1,8730-15768,36,http://coloradocollege.edu/,3.3
Colorado Mesa University,Grand Junction,CO,"Grand Junction, CO",930,1160,1040,18,24,21,25100,Public University,30-Nov,2.95,71,6,1,4493-7055,25,http://coloradomesa.edu/,2.75
Colorado Mountain College,Glenwood Springs,CO,"Glenwood Springs, CO",1060,1230,1140,23,27,25,12800,Public University,15-Jan,3.19,79,6.5,1,1104-2112,22,https://coloradomtn.edu/,2.75
Colorado Northwestern Community College,Rangely,CO,"Rangely, CO",1040,1210,1130,22,26,24,7300,Public University,Rolling,3.11,79,6.5,1,1104-2112,22,https://www.cncc.edu/,2.75
Colorado School of Mines,Golden,CO,"Golden, CO",1320,1480,1400,29,33,31,45800,Public University,15-Jan,3.67,90,7,1,2206-7655,17,http://mines.edu/,3.3
Colorado School of Trades,Lakewood,CO,"Lakewood, CO",830,960,895,17,20,18,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://schooloftrades.edu/,0
Colorado State University Pueblo,Pueblo,CO,"Pueblo, CO",1050,1190,1120,19,26,22,17900,Public University,Rolling,3.1,79,6.5,1,1104-2112,22,https://www.csupueblo.edu/,2.75
Colorado State University-Fort Collins,Fort Collins,CO,"Fort Collins, CO",990,1140,1070,21,25,23,34800,Public University,Rolling,3,79,6.5,1,1104-2112,22,https://colostate.edu/,2.75
Colorado Technical University-Colorado Springs,Colorado Springs,CO,"Colorado Springs, CO",950,1070,1010,20,23,22,12800,Private University,Rolling,2.55,80,6.5,1,1104-2112,22,https://www.coloradotech.edu/Colorado-Springs,2.75
"Columbia College (Columbia, MO)",Columbia,MO,"Columbia, MO",1110,1260,1180,24,28,26,25800,Private University,15-Jan,3.31,80,6.5,1,1104-2112,22,https://www.ccis.edu/,2.75
"Columbia College (Sonora, CA)",Sonora,CA,"Sonora, CA",830,935,882,17,19,18,9300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.gocolumbia.edu/,0
Columbia College Chicago,Chicago,IL,"Chicago, IL",980,1140,1060,21,25,23,34100,Private University,15-Jan,2.96,80,6.5,1,7523-19203,29,http://colum.edu/,2.75
Columbia Theological Seminary,Decatur,GA,"Decatur, GA",1090,1230,1160,23,27,25,33300,Private University,1-Jan,3.17,80,6.5,1,1104-2112,22,https://www.ctsnet.edu/,2.75
Columbia University in the City of New York,New York,NY,"New York, NY",1510,1580,1540,34,35,34,71800,Private University,1-Jan,4.01,100,7,1,5860-8068,23,http://columbia.edu/,3.5
Columbia-Greene Community College,Hudson,NY,"Hudson, NY",855,970,912,17,20,18,11400,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.columbiagreene.edu/,0
Columbus State University,Columbus,GA,"Columbus, GA",800,1060,930,16,22,19,17600,Public University,Rolling,2.74,72,6,1,5823-10472,16,http://columbusstate.edu/,2.75
Columbus Technical College,Columbus,GA,"Columbus, GA",815,950,882,16,20,18,7300,Public Community College,Rolling,3.17,61,5.5,1,2768-5519,18,http://columbustech.edu/,0
Community College of Aurora,Aurora,CO,"Aurora, CO",835,975,905,17,20,18,17100,Public Community College,Rolling,3.17,61,5.5,1,1537-2887,14,http://ccaurora.edu/,0
Community College of Denver,Denver,CO,"Denver, CO",1090,1210,1150,23,26,24,17100,Public University,15-Jan,3.26,79,6.5,1,1272-2876,15,http://ccd.edu/,2.75
Compton College,Compton,CA,"Compton, CA",815,920,867,16,19,18,8800,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.compton.edu/,0
Conception Seminary College,Conception,MO,"Conception, MO",1180,1330,1260,26,29,28,26200,Private University,15-Jan,3.37,80,6.5,1,1104-2112,22,https://www.conception.edu/,3
Concorde Career College-Aurora,Aurora,CO,"Aurora, CO",950,1070,1010,20,23,22,17900,Private University,Rolling,2.68,80,6.5,1,1104-2112,22,https://www.concorde.edu/campus/aurora-colorado,2.75
Concorde Career College-Garden Grove,Garden Grove,CA,"Garden Grove, CA",810,920,865,16,19,18,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/garden-grove-california,0
Concorde Career College-Kansas City,Kansas City,MO,"Kansas City, MO",930,1070,1000,19,23,21,17900,Private University,Rolling,2.54,80,6.5,1,1104-2112,22,https://www.concorde.edu/campus/kansas-city-missouri,2.75
Concorde Career College-North Hollywood,North Hollywood,CA,"North Hollywood, CA",835,975,905,17,20,18,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/north-hollywood-california,0
Concorde Career College-San Bernardino,San Bernardino,CA,"San Bernardino, CA",840,965,902,17,20,18,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/san-bernardino-california,0
Concorde Career College-San Diego,San Diego,CA,"San Diego, CA",830,975,902,17,20,18,9900,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/san-diego-california,0
Concorde Career Institute-Jacksonville,Jacksonville,FL,"Jacksonville, FL",810,925,867,16,19,18,10400,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/jacksonville-florida,0
Concorde Career Institute-Miramar,Miramar,FL,"Miramar, FL",840,985,912,17,21,19,10400,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/miramar-florida,0
Concorde Career Institute-Tampa,Tampa,FL,"Tampa, FL",805,935,870,16,19,18,10400,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.concorde.edu/campus/tampa-florida,0
Concordia College at Moorhead,Moorhead,MN,"Moorhead, MN",1120,1260,1190,21,26,24,31200,Private University,1-Jan,3.29,80,6.5,1,1104-2112,22,https://www.concordiacollege.edu/,3
Concordia Seminary,Saint Louis,MO,"Saint Louis, MO",1090,1230,1160,23,27,25,34900,Private University,1-Jan,3.2,80,6.5,1,1104-2112,22,https://www.csl.edu/,2.75
Concordia Theological Seminary,Fort Wayne,IN,"Fort Wayne, IN",1100,1240,1170,24,27,26,38300,Private University,1-Jan,3.29,80,6.5,1,1104-2112,22,https://ctsfw.edu/,2.75
Concordia University Ann Arbor,Ann Arbor,MI,"Ann Arbor, MI",1040,1210,1130,22,26,24,35400,Private University,1-Feb,3.11,80,6.5,1,1104-2112,22,https://www.cuaa.edu/,2.75
Concordia University-Chicago,River Forest,IL,"River Forest, IL",990,1130,1050,21,24,22,37500,Private University,1-Feb,2.95,80,6.5,1,1104-2112,22,https://www.cuchicago.edu/,2.75
Concordia University-Irvine,Irvine,CA,"Irvine, CA",1060,1220,1140,23,27,25,43500,Private University,1-Feb,3.13,80,6.5,1,1104-2112,22,https://www.cui.edu/,2.75
Concordia University-Nebraska,Seward,NE,"Seward, NE",1010,1130,1070,21,24,22,40600,Private University,1-Feb,2.99,80,6.5,1,1104-2112,22,https://www.cune.edu/,2.75
Concordia University-Saint Paul,Saint Paul,MN,"Saint Paul, MN",1030,1180,1100,22,26,24,25600,Private University,1-Feb,3.05,80,6.5,1,1104-2112,22,https://www.csp.edu/,2.75
Connecticut College,New London,CT,"New London, CT",1350,1500,1420,30,33,32,67200,Private University,1-Feb,3.79,90,7,1,5056-16784,36,http://conncoll.edu/,3.3
Connecticut State Community College,New Britain,CT,"New Britain, CT",850,975,912,17,20,18,15600,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://ctstate.edu/,0
Continental School of Beauty Culture-Rochester,Rochester,NY,"Rochester, NY",930,1045,987,19,22,20,19200,Private University,Rolling,2.68,80,6.5,1,1104-2112,22,https://continentalschoolofbeauty.edu/,0
Contra Costa College,San Pablo,CA,"San Pablo, CA",835,990,912,17,21,19,10300,Public Community College,Rolling,3.17,61,5.5,1,6322-14191,32,http://contracosta.edu/,0
Conway School of Landscape Design,Northampton,MA,"Northampton, MA",1100,1260,1170,24,28,26,37700,Private University,15-Jan,3.27,80,6.5,1,1104-2112,22,https://www.csld.edu/,2.75
Copiah-Lincoln Community College,Wesson,MS,"Wesson, MS",850,1000,925,17,21,19,5000,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.colin.edu/,0
Coppin State University,Baltimore,MD,"Baltimore, MD",880,1020,950,12,17,14,14000,Public University,1-Mar,2.84,71,6,1,5932-9929,24,http://coppin.edu/,2.75
Cornell College,Mount Vernon,IA,"Mount Vernon, IA",1120,1280,1200,23,30,26,52700,Private University,1-Jan,3.33,80,6.5,1,8856-15687,27,http://cornellcollege.edu/,3
Cornerstone University,Grand Rapids,MI,"Grand Rapids, MI",1050,1200,1140,22,26,24,23000,Private University,15-Jan,3.21,80,6.5,1,2212-8469,16,http://cornerstone.edu/,2.75
"Cortiva Institute (Cromwell, CT)",Cromwell,CT,"Cromwell, CT",940,1070,1005,20,23,22,18500,Private University,Rolling,2.57,80,6.5,1,1104-2112,22,https://www.cortiva.edu/,0
"Cortiva Institute (St. Petersburg, FL)",St. Petersburg,FL,"St. Petersburg, FL",975,1075,1025,20,23,22,19500,Private University,Rolling,2.49,80,6.5,1,1104-2112,22,https://www.cortiva.com/,0
Cosmetology & Spa Academy,Crystal Lake,IL,"Crystal Lake, IL",980,1110,1045,21,24,22,16700,Private University,Rolling,2.48,80,6.5,1,1104-2112,22,https://www.cosmetologyandspaacademy.edu/,0
Cosmetology Concepts Niles,Niles,IL,"Niles, IL",930,1045,987,19,22,20,18200,Private University,Rolling,2.7,80,6.5,1,1104-2112,22,https://johnamicoschoolofhairdesign.com/,0
Cossatot Community College of the University of Arkansas,De Queen,AR,"De Queen, AR",835,975,905,17,20,18,5100,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.cccua.edu/index.html,0
Cosumnes River College,Sacramento,CA,"Sacramento, CA",830,950,890,17,20,18,12600,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.crc.losrios.edu/,0
Cottey College,Nevada,MO,"Nevada, MO",1080,1220,1150,23,27,25,27600,Private University,1-Jan,3.18,80,6.5,1,1104-2112,22,https://www.cottey.edu/,2.75
County College of Morris,Randolph,NJ,"Randolph, NJ",850,1000,925,17,21,19,14300,Public Community College,1-Aug,3.17,61,5.5,1,5859-14374,29,http://ccm.edu/,0
Covenant College,Lookout Mountain,GA,"Lookout Mountain, GA",1160,1380,1270,23,30,26,42000,Private University,1-Jan,3.42,84,6.5,1,5487-16220,33,http://covenant.edu/,3
Covenant Theological Seminary,Saint Louis,MO,"Saint Louis, MO",1090,1240,1160,23,27,25,34200,Private University,15-Jan,3.18,80,6.5,1,1104-2112,22,https://www.covenantseminary.edu/,2.75
Cowley County Community College,Arkansas City,KS,"Arkansas City, KS",850,970,910,17,20,18,6600,Public Community College,1-Aug,3.17,61,5.5,1,1104-2112,22,https://www.cowley.edu/,0
Cox College,Springfield,MO,"Springfield, MO",980,1110,1050,21,24,22,14800,Private University,1-Jan,2.99,80,6.5,1,1104-2112,22,https://coxcollege.edu/,2.75
Crafton Hills College,Yucaipa,CA,"Yucaipa, CA",1080,1220,1150,23,27,25,14600,Public University,30-Nov,3.25,79,6.5,1,6061-17670,40,http://craftonhills.edu/,2.75
Cranbrook Academy of Art,Bloomfield Hills,MI,"Bloomfield Hills, MI",1100,1240,1170,24,27,26,37500,Private University,15-Jan,3.27,80,6.5,1,1104-2112,22,https://cranbrookart.edu/,2.75
Creative Hair School of Cosmetology,Flint,MI,"Flint, MI",940,1080,1010,20,23,22,19400,Private University,Rolling,2.42,80,6.5,1,1104-2112,22,https://creativehairschool.com/,0
Creighton University,Omaha,NE,"Omaha, NE",1240,1430,1340,26,31,28,48900,Private University,1-Feb,3.54,84,6.5,1,2591-5933,16,http://creighton.edu/,3.3
Crescent City Bartending School,New Orleans,LA,"New Orleans, LA",955,1080,1017,20,23,22,16700,Private University,Rolling,2.59,80,6.5,1,1104-2112,22,https://crescent.edu/,0
Crevier's Academy of Cosmetology Arts,Kalispell,MT,"Kalispell, MT",935,1080,1007,19,23,21,17300,Private University,Rolling,2.42,80,6.5,1,1104-2112,22,https://www.crevierschool.com/,0
Crowder College,Neosho,MO,"Neosho, MO",825,955,890,17,20,18,8300,Public Community College,Rolling,3.17,61,5.5,1,7192-11290,35,http://crowder.edu/,0
Crowley's Ridge College,Paragould,AR,"Paragould, AR",1090,1250,1160,23,27,25,16700,Private University,15-Jan,3.17,80,6.5,1,1104-2112,22,https://www.crc.edu/,2.75
Crown College,Saint Bonifacius,MN,"Saint Bonifacius, MN",1260,1410,1350,28,31,30,31400,Private University,15-Jan,3.65,80,6.5,1,8337-20035,37,http://crown.edu/,3.5
Cuesta College,San Luis Obispo,CA,"San Luis Obispo, CA",840,960,900,17,20,18,11000,Public Community College,1-Aug,3.17,61,5.5,1,6147-14053,35,http://cuesta.edu/,0
